Time sec,Strain 1 %,,Time res,,Resistencia
418.416,-0.6349103,,58127.27,837.36,0.035393
419.416,-0.6350075,,58128.47,838.56,0.035219
420.416,-0.634182,,58129.67,839.76,0.03542
421.416,-0.6339054,,58130.88,840.97,0.035488
422.416,-0.634224,,58132.08,842.17,0.035565
423.416,-0.6376512,,58134.48,844.57,0.035384
424.416,-0.6443004,,58136.89,846.98,0.035387
425.416,-0.6511494,,58138.09,848.18,0.035525
426.416,-0.6608471,,58140.5,850.59,0.035534
427.416,-0.6725863,,58141.7,851.79,0.035682
428.416,-0.6852438,,58144.11,854.2,0.035445
429.416,-0.6987497,,58146.52,856.61,0.035459
430.416,-0.7127464,,58147.72,857.81,0.035695
431.416,-0.7273661,,58148.92,859.01,0.035558
432.416,-0.7423832,,58151.33,861.42,0.035422
433.416,-0.757365,,58153.73,863.82,0.035466
434.416,-0.7734589,,58156.14,866.23,0.035451
435.416,-0.7896823,,58157.34,867.43,0.03557
436.416,-0.807377,,58158.55,868.64,0.035444
437.416,-0.8256184,,58159.75,869.84,0.035445
438.416,-0.8445376,,58160.95,871.04,0.035577
439.416,-0.8644402,,58163.36,873.45,0.035209
440.416,-0.8848762,,58164.56,874.65,0.034978
441.416,-0.9042257,,58165.77,875.86,0.034663
442.416,-0.9250189,,58168.17,878.26,0.034429
443.416,-0.9465211,,58169.38,879.47,0.033456
444.416,-0.9689162,,58170.58,880.67,0.033106
445.416,-0.9917168,,58171.78,881.87,0.032724
446.416,-1.015242,,58174.19,884.28,0.032959
447.416,-1.040923,,58175.39,885.48,0.032689
448.416,-1.067382,,58177.8,887.89,0.032371
449.416,-1.096,,58180.2,890.29,0.03214
450.416,-1.124947,,58182.61,892.7,0.031918
451.416,-1.153288,,58185.02,895.11,0.031708
452.416,-1.182304,,58186.22,896.31,0.031493
453.416,-1.210024,,58188.63,898.72,0.031456
454.416,-1.240505,,58191.03,901.12,0.031244
455.416,-1.27309,,58193.44,903.53,0.031034
456.416,-1.304509,,58194.64,904.73,0.031226
457.416,-1.334942,,58195.84,905.93,0.031116
458.416,-1.367796,,58198.25,908.34,0.031113
459.416,-1.400114,,58200.66,910.75,0.031492
460.416,-1.433166,,58203.06,913.15,0.031474
461.416,-1.466521,,58204.27,914.36,0.031624
462.416,-1.500371,,58205.47,915.56,0.031712
463.416,-1.533005,,58206.67,916.76,0.031548
464.416,-1.56641,,58207.88,917.97,0.03168
465.416,-1.599659,,58209.08,919.17,0.031663
466.416,-1.632897,,58211.48,921.57,0.03154
467.416,-1.666236,,58213.89,923.98,0.031511
468.416,-1.698385,,58215.09,925.18,0.031495
469.416,-1.73215,,58217.5,927.59,0.03114
470.416,-1.765876,,58218.7,928.79,0.030997
471.416,-1.798883,,58221.11,931.2,0.030702
472.416,-1.832136,,58223.52,933.61,0.030901
473.416,-1.86559,,58224.72,934.81,0.03079
474.416,-1.899517,,58225.92,936.01,0.030766
475.416,-1.933231,,58227.13,937.22,0.03051
476.416,-1.968541,,58228.33,938.42,0.030705
477.416,-2.003313,,58230.73,940.82,0.030719
478.416,-2.036861,,58233.14,943.23,0.0305
479.416,-2.070138,,58235.55,945.64,0.030462
480.416,-2.104171,,58236.75,946.84,0.03042
481.416,-2.137,,58237.95,948.04,0.030465
482.416,-2.17089,,58240.36,950.45,0.030394
483.416,-2.203435,,58242.77,952.86,0.030491
484.416,-2.237385,,58243.97,954.06,0.030365
485.416,-2.270791,,58245.17,955.26,0.030253
486.416,-2.303084,,58247.58,957.67,0.030262
487.416,-2.339211,,58249.98,960.07,0.030379
488.412,-2.372198,,58252.39,962.48,0.030418
489.412,-2.405131,,58253.59,963.68,0.030623
490.412,-2.438482,,58254.8,964.89,0.0305
491.398,-2.470628,,58256,966.09,0.030537
492.39,-2.503534,,58257.2,967.29,0.030515
493.334,-2.536484,,58259.61,969.7,0.030663
