Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   6.51 -.001677 -40.88  -85.1
   6.52 -.001714 -41.80  -83.5
   6.53 -.001752 -42.71  -81.9
   6.55 -.001788 -43.59  -80.3
   6.56 -.001824 -44.47  -78.7
   6.57 -.001859 -45.33  -77.2
   6.58 -.001893 -46.15  -75.7
   6.59 -.001927 -46.97  -74.2
   6.60 -.001959 -47.77  -72.7
   6.61 -.001992 -48.56  -71.4
   6.62 -.002023 -49.33  -70.0
   6.64 -.002055 -50.10  -68.6
   6.65 -.002085 -50.83  -67.3
   6.66 -.002114 -51.55  -65.9
   6.67 -.002143 -52.26  -64.6
   6.68 -.002171 -52.94  -63.2
   6.69 -.002200 -53.63  -61.9
   6.70 -.002227 -54.29  -60.7
   6.71 -.002253 -54.94  -59.4
   6.73 -.002280 -55.59  -58.2
   6.74 -.002305 -56.20  -56.9
   6.75 -.002331 -56.83  -55.7
   6.76 -.002356 -57.44  -54.7
   6.77 -.002380 -58.03  -53.6
   6.78 -.002404 -58.61  -52.6
   6.79 -.002427 -59.17  -51.6
   6.80 -.002450 -59.74  -50.6
   6.82 -.002473 -60.29  -49.6
   6.83 -.002496 -60.84  -48.7
   6.84 -.002517 -61.37  -47.9
   6.85 -.002539 -61.89  -47.0
   6.86 -.002560 -62.41  -46.2
   6.87 -.002580 -62.90  -45.3
   6.88 -.002600 -63.39  -44.5
   6.89 -.002620 -63.88  -43.7
   6.90 -.002639 -64.35  -42.9
   6.92 -.002658 -64.82  -42.0
   6.93 -.002677 -65.27  -41.2
   6.94 -.002696 -65.72  -40.4
   6.95 -.002714 -66.16  -39.6
   6.96 -.002731 -66.58  -38.8
   6.97 -.002749 -67.02  -38.2
   6.98 -.002766 -67.44  -37.5
   6.99 -.002783 -67.85  -36.8
   7.01 -.002799 -68.24  -36.2
   7.02 -.002815 -68.63  -35.5
   7.03 -.002831 -69.03  -34.9
   7.04 -.002847 -69.42  -34.3
   7.05 -.002862 -69.78  -33.6
   7.06 -.002877 -70.15  -33.0
   7.07 -.002892 -70.52  -32.4
   7.09 -.002907 -70.88  -31.9
   7.10 -.002922 -71.24  -31.3
   7.11 -.002935 -71.57  -30.8
   7.12 -.002950 -71.93  -30.4
   7.13 -.002964 -72.25  -29.9
   7.14 -.002977 -72.58  -29.4
   7.15 -.002991 -72.92  -28.9
   7.16 -.003003 -73.22  -28.5
   7.18 -.003016 -73.54  -28.0
   7.19 -.003029 -73.84  -27.5
   7.20 -.003041 -74.15  -27.1
   7.21 -.003054 -74.45  -26.6
   7.22 -.003065 -74.74  -26.1
   7.23 -.003077 -75.02  -25.7
   7.24 -.003088 -75.29  -25.1
   7.25 -.003099 -75.56  -24.7
   7.26 -.003110 -75.83  -24.2
   7.28 -.003121 -76.09  -23.7
   7.29 -.003132 -76.36  -23.3
   7.30 -.003142 -76.60  -22.8
   7.31 -.003152 -76.85  -22.4
   7.32 -.003162 -77.10  -21.9
   7.33 -.003172 -77.33  -21.5
   7.34 -.003181 -77.56  -21.1
   7.35 -.003191 -77.80  -20.7
   7.37 -.003201 -78.04  -20.4
   7.38 -.003210 -78.25  -20.0
   7.39 -.003219 -78.48  -19.7
   7.40 -.003228 -78.70  -19.4
   7.41 -.003236 -78.91  -19.1
   7.42 -.003245 -79.12  -18.8
   7.43 -.003254 -79.32  -18.5
   7.44 -.003262 -79.53  -18.2
   7.46 -.003270 -79.73  -17.9
   7.47 -.003278 -79.91  -17.5
   7.48 -.003286 -80.12  -17.2
   7.49 -.003294 -80.31  -16.9
   7.50 -.003301 -80.49  -16.7
   7.51 -.003309 -80.68  -16.4
   7.52 -.003316 -80.86  -16.1
   7.53 -.003324 -81.04  -15.9
   7.55 -.003331 -81.20  -15.6
   7.56 -.003338 -81.38  -15.3
   7.57 -.003345 -81.55  -15.1
   7.58 -.003352 -81.71  -14.8
   7.59 -.003358 -81.87  -14.6
   7.60 -.003365 -82.04  -14.3
   7.61 -.003371 -82.19  -14.0
   7.62 -.003378 -82.35  -13.8
   7.64 -.003385 -82.52  -13.6
   7.65 -.003390 -82.66  -13.4
   7.66 -.003397 -82.81  -13.2
   7.67 -.003403 -82.96  -13.1
   7.68 -.003408 -83.09  -12.8
   7.69 -.003414 -83.24  -12.6
   7.70 -.003420 -83.38  -12.4
   7.71 -.003425 -83.51  -12.2
   7.73 -.003431 -83.65  -12.0
