Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   7.41 0.005481 133.68  -13.8
   7.42 0.005387 131.38  -28.5
   7.43 0.005262 128.34  -49.6
   7.44 0.005125 125.00  -76.3
   7.45 0.005067 123.58 -100.5
   7.46 0.004992 121.76 -123.1
   7.48 0.004925 120.12 -142.5
   7.49 0.004861 118.55 -157.0
   7.50 0.004785 116.71 -166.8
   7.51 0.004628 112.86 -176.8
   7.52 0.004530 110.48 -181.4
   7.53 0.004433 108.10 -182.3
   7.54 0.004340 105.83 -182.1
   7.55 0.004249 103.62 -181.4
   7.57 0.004164 101.55 -182.7
   7.58 0.004080  99.50 -187.5
   7.59 0.003996  97.46 -189.5
   7.60 0.003909  95.32 -190.0
   7.61 0.003829  93.38 -187.5
   7.62 0.003748  91.41 -181.8
   7.63 0.003665  89.39 -173.7
   7.64 0.003586  87.46 -170.5
   7.66 0.003509  85.57 -167.5
   7.67 0.003430  83.65 -165.1
   7.68 0.003353  81.76 -163.1
   7.69 0.003276  79.88 -161.5
   7.70 0.003200  78.04 -159.7
   7.71 0.003122  76.15 -158.2
   7.72 0.003049  74.34 -156.5
   7.73 0.002973  72.49 -155.4
   7.75 0.002899  70.69 -154.1
   7.76 0.002825  68.90 -152.8
   7.77 0.002754  67.16 -151.6
   7.78 0.002683  65.42 -150.4
   7.79 0.002613  63.71 -148.9
   7.80 0.002544  62.03 -147.4
   7.81 0.002475  60.36 -145.7
   7.82 0.002405  58.65 -144.2
   7.84 0.002337  57.00 -142.6
   7.85 0.002272  55.39 -141.0
   7.86 0.002203  53.73 -139.6
   7.87 0.002139  52.15 -138.1
   7.88 0.002073  50.56 -136.8
   7.89 0.002009  48.99 -135.5
   7.90 0.001944  47.41 -134.2
   7.91 0.001881  45.87 -133.0
   7.92 0.001817  44.31 -131.9
   7.94 0.001755  42.80 -130.7
   7.95 0.001694  41.30 -129.4
   7.96 0.001633  39.83 -128.2
   7.97 0.001574  38.38 -126.9
   7.98 0.001514  36.92 -125.6
   7.99 0.001454  35.46 -124.4
