Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   5.54 0.005274 128.63    2.3
   5.56 0.005277 128.69    2.4
   5.57 0.005278 128.71    2.3
   5.58 0.005278 128.73    2.2
   5.59 0.005278 128.72    2.1
   5.60 0.005277 128.69    1.7
   5.61 0.005279 128.75    1.5
   5.62 0.005280 128.77    1.4
   5.64 0.005280 128.77    1.3
   5.65 0.005280 128.77    1.2
   5.66 0.005279 128.75    1.1
   5.67 0.005278 128.74    0.7
   5.68 0.005278 128.74    0.4
   5.69 0.005279 128.75    0.3
   5.70 0.005280 128.78    0.3
   5.71 0.005282 128.82    0.5
   5.72 0.005282 128.83    0.6
   5.74 0.005281 128.80    0.4
   5.75 0.005281 128.80    0.4
   5.76 0.005280 128.78    0.4
   5.77 0.005282 128.81    0.5
   5.78 0.005281 128.80    0.5
   5.79 0.005282 128.83    0.6
   5.80 0.005284 128.87    0.6
   5.82 0.005285 128.89    0.6
   5.83 0.005283 128.84    0.5
   5.84 0.005281 128.81    0.3
   5.85 0.005283 128.84    0.4
   5.86 0.005282 128.83    0.4
   5.87 0.005284 128.87    0.4
   5.88 0.005285 128.90    0.5
   5.89 0.005286 128.93    0.6
   5.91 0.005285 128.89    0.6
   5.92 0.005284 128.86    0.4
   5.93 0.005285 128.89    0.3
   5.94 0.005285 128.91    0.4
   5.95 0.005286 128.93    0.7
   5.96 0.005287 128.94    0.8
   5.97 0.005284 128.87    0.5
   5.98 0.005282 128.82    0.1
   6.00 0.005282 128.83   -0.3
   6.01 0.005281 128.81   -0.6
   6.02 0.005279 128.76   -0.9
   6.03 0.005280 128.77   -1.0
   6.04 0.005280 128.78   -1.1
   6.05 0.005282 128.83   -1.1
   6.06 0.005284 128.87   -0.9
   6.07 0.005284 128.88   -0.5
   6.09 0.005284 128.88   -0.1
   6.10 0.005283 128.84    0.3
   6.11 0.005282 128.82    0.4
   6.12 0.005284 128.87    0.5
   6.13 0.005285 128.89    0.8
   6.14 0.005285 128.90    0.9
   6.15 0.005284 128.87    0.7
   6.16 0.005284 128.86    0.4
   6.18 0.005284 128.87    0.2
   6.19 0.005285 128.90    0.1
   6.20 0.005285 128.90    0.2
   6.21 0.005284 128.87    0.3
   6.22 0.005284 128.87    0.3
   6.23 0.005284 128.87    0.1
   6.24 0.005284 128.88   -0.0
   6.25 0.005285 128.90   -0.0
   6.27 0.005282 128.83   -0.1
   6.28 0.005282 128.81   -0.2
   6.29 0.005279 128.75   -0.6
   6.30 0.005279 128.74   -1.0
   6.31 0.005271 128.55   -1.9
   6.32 0.005211 127.09   -7.1
   6.33 0.000063   1.53 -407.2
   6.34 0.000006   0.16 -738.7
   6.36 0.000090   2.21 -990.0
   6.37 0.001375  33.52 %-1069.9
   6.38 0.005002 122.00 -816.0
