Datos generados por TERE.BAS el 06-14-2007
 t[min] T[§C] V[§C/min]
   6.04 -.001849 -45.09  -41.6
   6.05 -.001869 -45.56  -41.0
   6.06 -.001888 -46.02  -40.5
   6.08 -.001906 -46.47  -39.9
   6.09 -.001924 -46.92  -39.3
   6.10 -.001943 -47.36  -38.8
   6.11 -.001960 -47.79  -38.2
   6.12 -.001978 -48.22  -37.7
   6.13 -.001995 -48.65  -37.2
   6.14 -.002013 -49.07  -36.7
   6.15 -.002029 -49.48  -36.2
   6.17 -.002046 -49.90  -35.8
   6.18 -.002063 -50.30  -35.3
   6.19 -.002079 -50.69  -34.8
   6.20 -.002095 -51.09  -34.4
   6.21 -.002111 -51.47  -34.0
   6.22 -.002127 -51.85  -33.5
   6.23 -.002142 -52.23  -33.1
   6.25 -.002158 -52.60  -32.6
   6.26 -.002173 -52.97  -32.2
   6.27 -.002187 -53.32  -31.7
   6.28 -.002202 -53.68  -31.3
   6.29 -.002216 -54.04  -30.8
   6.30 -.002231 -54.38  -30.4
   6.31 -.002245 -54.73  -30.1
   6.32 -.002259 -55.06  -29.6
   6.33 -.002272 -55.40  -29.3
   6.35 -.002286 -55.72  -28.9
   6.36 -.002299 -56.05  -28.5
   6.37 -.002312 -56.38  -28.1
   6.38 -.002325 -56.69  -27.8
   6.39 -.002338 -57.01  -27.5
   6.40 -.002351 -57.32  -27.1
   6.41 -.002363 -57.62  -26.7
   6.42 -.002376 -57.92  -26.4
   6.44 -.002388 -58.22  -26.0
   6.45 -.002400 -58.51  -25.7
   6.46 -.002412 -58.80  -25.4
   6.47 -.002423 -59.08  -25.0
   6.48 -.002435 -59.36  -24.7
   6.49 -.002446 -59.63  -24.3
   6.50 -.002457 -59.91  -24.0
   6.51 -.002469 -60.19  -23.6
   6.53 -.002479 -60.45  -23.3
   6.54 -.002490 -60.70  -23.0
   6.55 -.002501 -60.98  -22.7
   6.56 -.002511 -61.23  -22.4
   6.57 -.002522 -61.48  -22.1
   6.58 -.002532 -61.73  -21.9
   6.59 -.002542 -61.98  -21.6
   6.60 -.002552 -62.22  -21.3
   6.61 -.002562 -62.46  -21.0
   6.63 -.002572 -62.70  -20.8
   6.64 -.002581 -62.92  -20.5
   6.65 -.002591 -63.17  -20.2
   6.66 -.002600 -63.40  -20.0
   6.67 -.002609 -63.62  -19.7
   6.68 -.002619 -63.85  -19.5
